idx,name,repeat,schedule,stepnum,speed,accel,next,exit,populated
0,,1,10,1,32,32,0,0,1
1,init,1,10,1,32,32,0,0,1
8,slow-wake,1,10,1,64,32,1,0,1
9,walkready,1,10,1,64,32,0,0,1
15,sit down,1,10,1,64,32,0,0,1
20,wave,1,10,6,32,32,1,1,1
22,arms up,1,10,3,48,32,1,0,1
25,scratch,1,10,4,48,32,1,1,1
30,bow,1,10,1,32,32,1,0,1
35,excite,1,10,4,32,32,1,1,1
40,talking,1,10,7,32,32,1,0,1
45,thanks,1,10,3,32,32,1,0,1
46,pose,1,10,1,32,32,1,0,1
47,dance1,1,10,7,32,32,1,1,1
48,dance,1,10,7,32,32,51,1,1
51,,1,10,2,32,32,1,0,1
55,long pose,1,10,1,64,32,1,0,1
100,test1,1,10,7,32,32,101,0,1
101,test2,1,10,6,32,32,0,0,1
102,test3,1,10,0,32,32,0,1,1
