idx,name,repeat,schedule,stepnum,speed,accel,next,exit,populated
1,int,1,10,1,32,32,0,0,1
2,ok,1,10,5,32,32,0,0,1
3,no,1,10,5,32,32,0,0,1
4,hi,1,10,4,32,32,0,0,1
5,??,1,10,3,32,32,0,0,1
6,talk1,1,10,7,32,32,0,0,1
9,walkready,1,10,1,32,32,0,0,1
10,f up,1,10,5,32,32,0,0,1
11,b up,1,10,6,32,32,0,0,1
12,rk,1,10,7,32,32,0,0,1
13,lk,1,10,7,32,32,0,0,1
15,sit down,1,10,1,32,32,0,0,1
16,stand up,1,10,1,32,32,0,0,1
17,mul1,1,10,7,32,32,18,0,1
18,mul2,1,10,7,32,32,19,0,1
19,mul3,1,10,6,32,32,0,0,1
23,d1,1,10,4,21,32,0,0,1
24,d2,1,10,5,32,32,25,0,1
25,d2,1,10,6,32,32,0,0,1
27,scratch_head,1,10,5,32,32,0,0,1
29,talk2,1,10,5,21,32,30,0,1
30,talk2,1,10,5,21,32,0,0,1
31,d4,1,10,6,32,32,0,0,1
38,wave_1a,1,10,5,32,32,39,0,1
39,wave_1b,1,10,7,32,32,0,0,1
41,talk2,1,10,3,21,32,42,0,1
42,talk2,1,10,5,21,32,43,0,1
43,talk2,1,10,5,32,32,44,0,1
44,talk2,1,10,5,21,32,45,0,1
45,talk2,1,10,7,32,32,46,0,1
46,talk2,1,10,5,32,32,47,0,1
47,talk2,1,10,6,32,32,0,0,1
54,int,1,10,2,32,32,55,0,1
55,int,1,10,6,16,32,56,0,1
56,int,1,10,6,16,32,58,0,1
57,int,1,10,6,16,32,58,0,1
58,int,1,10,1,32,32,0,0,1
70,rPASS,1,10,7,32,32,0,0,1
71,lPASS,1,10,7,32,32,0,0,1
75,skate,1,10,5,32,32,0,0,1
90,lie down,1,10,4,32,32,0,0,1
91,lie up,1,10,3,32,32,0,0,1
237,sit down,6,10,2,12,32,0,0,1
239,sit down,4,10,2,12,32,240,0,1
240,sit down,4,10,2,12,32,241,0,1
241,sit down,20,10,2,12,32,0,0,1
