idx,name,repeat,schedule,stepnum,speed,accel,next,exit,populated
1,init,1,10,2,32,32,0,0,1
2,ok,1,10,5,32,32,0,0,1
3,no,1,10,5,32,32,0,0,1
4,hi,1,10,4,32,32,0,0,1
5,??,1,10,3,32,32,0,0,1
6,talk1,1,10,7,32,32,0,0,1
9,walkready,1,10,1,32,32,0,0,1
10,f up,1,10,5,32,32,0,0,1
11,b up,1,10,6,32,32,0,0,1
12,rk,1,10,7,32,32,0,0,1
13,lk,1,10,7,32,32,0,0,1
15,sit down,1,10,1,32,32,0,0,1
16,stand up,1,10,1,32,32,0,0,1
17,mul1,1,10,7,32,32,18,0,1
18,mul2,1,10,7,32,32,19,0,1
19,mul3,1,10,6,32,32,0,0,1
23,d1,1,10,4,21,32,0,0,1
24,d2,1,10,5,32,32,25,0,1
25,d2,1,10,6,32,32,0,0,1
27,d3,1,10,5,32,32,0,0,1
29,talk2,1,10,5,21,32,30,0,1
30,talk2,1,10,5,21,32,0,0,1
31,d4,1,10,6,32,32,0,0,1
38,d2,1,10,5,32,32,39,0,1
39,d2,1,10,6,32,32,0,0,1
41,talk2,1,10,3,31,32,42,0,1
42,talk2,1,10,5,31,32,43,0,1
43,talk2,1,10,5,42,32,44,0,1
44,talk2,1,10,5,31,32,45,0,1
45,talk2,1,10,7,42,32,46,0,1
46,talk2,1,10,5,42,32,47,0,1
47,talk2,1,10,6,42,32,0,0,1
54,int,1,10,2,32,32,55,0,1
55,int,1,10,6,16,32,56,0,1
56,int,1,10,6,16,32,58,0,1
57,int,1,10,6,16,32,58,0,1
58,int,1,10,1,32,32,0,0,1
70,rPASS,1,10,7,32,32,0,0,1
71,lPASS,1,10,7,32,32,0,0,1
90,lie down,1,10,4,32,32,0,0,1
91,lie up,1,10,3,32,32,0,0,1
100,robot_initial_,1,10,1,32,32,0,0,1
101,neck_1,1,10,4,32,32,100,0,1
102,neck_2,1,10,4,32,32,100,0,1
103,arm_1,1,10,1,32,32,100,0,1
104,back_1,1,10,3,32,32,100,0,1
105,leg_1,1,10,7,32,32,100,0,1
106,back_2,3,10,2,32,32,100,0,1
107,arm_2,3,10,2,32,32,100,0,1
108,sit_down,1,10,1,32,32,0,0,1
150,sit down,1,10,4,32,32,0,0,1
151,gomwqf,1,10,2,32,32,0,0,1
152,robot_initial_,1,10,2,40,32,0,0,1
237,sit down,6,10,2,12,32,0,0,1
239,sit down,4,10,2,12,32,240,0,1
240,sit down,4,10,2,12,32,241,0,1
241,sit down,20,10,2,12,32,0,0,1
250,init_pose,1,10,1,32,32,0,0,1
251,welcome,1,10,2,32,32,250,0,1
252,ok,1,10,5,32,32,250,0,1
253,bye,1,10,5,30,32,250,0,1
254,Go,1,10,5,32,32,250,0,1
255,test,1,10,5,32,32,250,0,1
